Sale,Area,Bed,Bath,Crime_Rate,Car_Commute_Percentage,Elemenatary_School,Middle_School,High_School,Total_School,Restaurant,Grocery,Nightlife
528000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,2,2,2,6,79,18,19
496000,"Jamaica Plain, Boston, MA",3.0,1.0,1,21,9,8,8,25,306,34,61
623200,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,6,2,2,10,123,28,23
528000,"Jamaica Plain, Boston, MA",4.0,2.0,1,66,3,2,2,7,70,17,15
576000,"Jamaica Plain, Boston, MA",4.0,2.0,1,21,9,8,8,25,306,34,61
296000,"Jamaica Plain, Boston, MA",1.0,1.0,3,53,8,4,4,16,178,40,29
616000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,1,1,0,2,83,17,20
720000,"Jamaica Plain, Boston, MA",5.0,2.0,1,42,5,3,3,11,116,24,21
912000,"Jamaica Plain, Mission Hill, MA",6.0,2.0,2,23,9,9,9,27,306,34,63
400000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,1,1,0,2,80,16,19
136000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
136000,"Jamaica Plain, Boston, MA",4.0,1.0,2,23,9,9,9,27,306,34,63
600000,"Jamaica Plain, Boston, MA",3.0,1.0,2,42,9,8,8,25,195,35,29
672000,"Jamaica Plain, Boston, MA",4.0,2.0,5,42,3,3,3,9,113,24,21
368000,"Jamaica Plain, Boston, MA",1.0,1.0,1,21,9,8,8,25,285,34,49
640000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,10,9,9,28,190,33,29
640000,"Jamaica Plain, Boston, MA",4.0,2.0,2,42,9,8,8,25,195,35,29
576000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,3,2,0,5,68,18,15
640000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,10,9,9,28,190,33,29
288000,"Jamaica Plain, Boston, MA",1.0,1.0,1,53,8,4,4,16,139,32,25
432000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,2,2,2,6,84,23,17
448000,"Jamaica Plain, Boston, MA",2.0,1.0,1,21,9,8,8,25,285,34,49
720000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,1,1,1,3,70,15,14
400000,"Jamaica Plain, Boston, MA",3.0,1.0,1,66,4,3,3,10,67,18,15
568000,"Jamaica Plain, Boston, MA",4.0,2.5,3,53,7,4,4,15,179,37,29
640000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,3,3,3,9,117,25,21
564000,"Jamaica Plain, Boston, MA",4.0,2.5,3,53,8,4,4,16,179,37,29
383200,"Jamaica Plain, Boston, MA",2.0,1.0,2,53,8,5,5,18,159,33,27
504000,"Jamaica Plain, Boston, MA",2.0,1.0,1,42,9,8,8,25,290,36,55
616000,"Jamaica Plain, Boston, MA",4.0,2.0,1,42,1,1,0,2,83,17,20
496000,"Mattapan, Boston, MA",4.0,1.0,4,59,7,5,0,12,67,15,5
360000,"Mattapan, Boston, MA",3.0,1.0,5,59,3,2,0,5,72,14,4
400000,"Mattapan, Boston, MA",3.0,1.0,5,59,3,2,0,5,72,14,4
512000,"Mattapan, Boston, MA",4.0,1.0,4,59,3,2,0,5,68,14,4
376000,"Mattapan, Boston, MA",2.0,1.0,2,59,8,6,6,20,75,20,9
128000,"Mattapan, Boston, MA",1.0,0.0,5,59,3,2,0,5,72,14,4
336000,"Mattapan, Mattapan, MA",1.0,1.0,1,59,2,1,1,4,61,14,13
432000,"Mattapan, Mattapan, MA",4.0,1.0,4,59,7,5,0,12,64,14,4
400000,"Mattapan, Boston, MA",4.0,1.0,4,59,3,2,0,5,68,14,4
400000,"Mattapan, Boston, MA",4.0,1.0,4,59,3,2,0,5,72,14,4
160000,"Mattapan, Boston, MA",3.0,1.0,4,59,3,2,0,5,69,14,4
368000,"Mattapan, Boston, MA",3.0,1.0,2,59,3,3,0,6,68,15,4
400000,"Mattapan, Boston, MA",3.0,1.0,5,59,3,2,0,5,69,15,5
440000,"Mattapan, Boston, MA",3.0,1.0,2,59,6,5,0,11,63,15,4
319200,"Mattapan, Boston, MA",2.0,2.0,3,59,3,2,0,5,68,14,4
400000,"Mattapan, Boston, MA",1.0,1.0,1,21,1,0,2,3,76,18,13
416000,"Mattapan, Boston, MA",2.0,2.0,1,59,2,1,0,3,74,14,7
272000,"Mattapan, Boston, MA",1.0,1.0,1,59,3,2,2,7,87,18,15
352000,"Mattapan, Boston, MA",2.0,1.0,1,54,4,4,4,12,88,19,15
416000,"Mattapan, Boston, MA",4.0,1.0,5,59,3,2,0,5,69,15,5
376000,"Mattapan, Dorchester Center, MA",4.0,1.0,3,54,1,1,0,2,75,14,5
336000,"Mattapan, Boston, MA",3.0,1.0,2,59,8,7,7,22,80,18,11
280000,"Mattapan, Boston, MA",3.0,1.0,2,59,2,1,1,4,61,13,11
360000,"Mattapan, Mattapan, MA",3.0,1.0,2,59,7,5,0,12,63,15,4
384000,"Mattapan, Dorchester Center, MA",3.0,1.0,2,54,6,4,4,14,90,20,13
368000,"Mattapan, Boston, MA",3.0,1.0,2,54,6,4,4,14,90,20,13
448000,"Mattapan, Boston, MA",4.0,1.0,3,59,8,6,6,20,62,15,4
288000,"Mattapan, Mattapan, MA",2.0,1.0,3,59,7,5,0,12,63,15,4
288000,"Mattapan, Mattapan, MA",2.0,1.0,1,59,4,3,3,10,54,11,5
368000,"Mattapan, Boston, MA",3.0,1.0,1,59,5,4,4,13,57,11,6
480000,"Mattapan, Boston, MA",4.0,1.0,1,59,5,4,4,13,61,12,8
496000,"Mattapan, Boston, MA",4.0,1.0,1,59,5,4,4,13,64,13,8
296000,"Mattapan, Mattapan, MA",2.0,1.0,3,59,6,4,0,10,61,15,4
296000,"Mattapan, Mattapan, MA",2.0,1.0,2,59,8,6,6,20,82,20,10
304000,"Mattapan, Mattapan, MA",2.0,1.0,1,59,6,3,3,12,59,16,1
416000,"Mattapan, Boston, MA",3.0,1.0,5,59,3,2,0,5,70,17,5
192000,"Mattapan, Boston, MA",3.0,2.0,1,59,1,0,3,4,78,18,15
512000,"Mattapan, Mattapan, MA",4.0,2.0,1,59,1,0,2,3,65,13,9
456000,"Mattapan, Dorchester, MA",4.0,1.0,4,54,3,2,0,5,75,16,4
640000,"Mattapan, Boston, MA",9.0,3.0,2,54,6,4,4,14,88,19,11
352000,"Mattapan, Mattapan, MA",2.0,1.0,3,59,6,5,0,11,71,18,5
400000,"Mattapan, Boston, MA",3.0,1.0,3,59,9,6,6,21,83,18,11
400000,"Mattapan, Boston, MA",3.0,1.0,3,59,9,6,6,21,83,18,11
368000,"Mattapan, Mattapan, MA",4.0,2.0,3,59,4,3,0,7,72,17,5
464000,"Mattapan, Dorchester Center, MA",3.0,1.0,2,54,6,4,4,14,92,21,15
392000,"Mattapan, Boston, MA",3.0,1.0,3,59,6,5,0,11,61,15,4
448000,"Mattapan, Boston, MA",3.0,1.0,3,59,3,2,0,5,64,14,4
368000,"Mattapan, Mattapan, MA",2.0,1.0,3,59,6,5,5,16,82,19,11
480000,"Mattapan, Boston, MA",3.0,1.0,1,59,0,0,1,1,63,13,7
480000,"Mattapan, Boston, MA",3.0,1.0,1,59,0,0,1,1,63,13,7
